date,name,gross,recovered,net,classification,technique,chains,in_scope_chain,bridge_hack,target_type,is_defi_protocol,defillamaId,category,sector
2024-09-16,Rivus DAO,0.0,0.0,0.0,Rugpull,Third-party Dev Backdoor Exploit,Ethereum,True,False,DeFi Protocol,True,4574.0,Liquid Staking,Derivatives
2024-09-16,WXETA,110000.0,0.0,110000.0,Protocol Logic,Access Control Exploit,"Ethereum,BSC",True,False,DeFi Protocol,True,,,Other
2024-09-19,Banana Gun,3000000.0,3000000.0,0.0,Protocol Logic,Front-end vulnerability,Ethereum,True,False,DeFi Protocol,True,3336.0,Telegram Bot,Other
2024-09-20,BingX,43300000.0,0.0,43300000.0,Infrastructure,Hot wallet hack,Ethereum,True,False,CEX,False,4859.0,CEX,Other
2024-09-20,OcelotDex,4900000.0,0.0,4900000.0,Protocol Logic,Infinite Mint and Dump,Ethereum,True,False,DeFi Protocol,True,4095.0,Dexs,DEX
2024-09-25,Truflation,5000000.0,0.0,5000000.0,Infrastructure,Private Key Compromised (Malware),,False,False,Other,False,,,Other
2024-09-26,uniBTC,1700000.0,0.0,1700000.0,Protocol Logic,Minting Logic Exploit,Ethereum,True,False,DeFi Protocol,True,4966.0,,Other
2024-09-26,Onyx V2,4000000.0,0.0,4000000.0,Protocol Logic,Liquidation Logic Exploit,Ethereum,True,False,DeFi Protocol,True,5180.0,Lending,Lending
2024-10-04,Lava,130000.0,0.0,130000.0,Protocol Logic,Flashloan Exploit,Arbitrum,True,False,DeFi Protocol,True,4241.0,Lending,Lending
2024-10-14,Kalax,350000.0,0.0,350000.0,Rugpull,Drain Vaults,Blast,True,False,DeFi Protocol,True,4677.0,Yield Aggregator,Yield
2024-10-14,LeadBlock's Morpho Blue Market,250000.0,0.0,250000.0,Protocol Logic,Oracle Misconfiguration Exploit,Ethereum,True,False,DeFi Protocol,True,,,Other
2024-10-16,Radiant V2,53000000.0,0.0,53000000.0,Protocol Logic,Access Control Exploit,"BSC,Arbitrum",True,False,DeFi Protocol,True,2706.0,Lending,Lending
2024-10-17,Ambient,0.0,0.0,0.0,Ecosystem,Domain Hijack,Ethereum,True,False,DeFi Protocol,True,3104.0,Dexs,DEX
2024-10-18,Tapioca DAO,4700000.0,0.0,4700000.0,Protocol Logic,Private Key Compromised (Social Engineering),Arbitrum,True,False,DeFi Protocol,True,,,Other
2024-10-24,US Government Crypto Wallet,20000000.0,0.0,20000000.0,,,Ethereum,True,False,Other,False,,,Other
2024-10-30,SUNRAY·FINANCE,2855000.0,0.0,2855000.0,Infrastructure,Private Key Compromised,Arbitrum,True,False,DeFi Protocol,True,,,Other
2024-10-31,M2 Exchange,13700000.0,0.0,13700000.0,Protocol Logic,Access Control Exploit,"Ethereum,Solana,Bitcoin",True,False,CEX,False,,,Other
2024-10-31,1inch,720000.0,0.0,720000.0,Ecosystem,Private Key Compromised (Supply Chain Attack),Avalanche,True,False,DeFi Protocol,True,189.0,DEX Aggregator,DEX
2024-11-11,zkFinance,200000.0,0.0,200000.0,Protocol Logic,Oracle Misconfiguration Exploit,zkSync Era,False,False,DeFi Protocol,True,4798.0,Lending,Lending
2024-11-11,DeltaPrime,4800000.0,0.0,4800000.0,Protocol Logic,Debt Swap Exploit,"Arbitrum,Avalanche",True,False,DeFi Protocol,True,2479.0,Leveraged Farming,Other
2024-11-15,ThalaSwap,25500000.0,0.0,25500000.0,Protocol Logic,Drained Liquidity Pool,Aptos,True,False,DeFi Protocol,True,2795.0,Dexs,DEX
