id,date,name,category,chain,funds_lost,funds_recovered,funds_returned,scam_type,scam_parent,year
3756,2023-05-04,GN,Token,,96097.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3757,2023-02-08,Coin Merge,Token,,75887.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3758,2021-09-14,Cool Cats,Token,,20961.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2021
3759,2023-07-10,fren,Token,,33768.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3760,2022-10-04,Lets Go Farming Token,Token,,37265.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2022
3761,2023-09-07,SPROUT,Token,,107982.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3762,2023-03-08,STILTON MUSK,Token,,231904.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3763,2023-10-31,Dracula,Token,,38349.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3764,2023-10-31,loveloverocket,Token,,23439.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3765,2023-01-11,Celestia,Token,,208853.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3766,2023-10-11,Black Hole,Token,,1275981.0,0.0,0.0,Other,Exploit/Other,2023
3767,2023-10-31,Uni Bot,Other,,673317.0,0.0,0.0,Other,Exploit/Other,2023
3768,2023-11-07,MEV Bot,Other,,1974350.0,0.0,0.0,Other,Exploit/Other,2023
3769,2023-11-05,Ledger Live Web3,Other,,768000.0,0.0,0.0,Phishing,Exploit/Phishing,2023
3770,2023-11-08,To the Moon,Token,,107464.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3771,2023-11-07,TheStandard.io,"Stablecoin,Borrowing and Lending",,264000.0,0.0,264000.0,Other,Exploit/Other,2023
3772,2023-11-07,TrustPad,Other,,152487.0,0.0,0.0,Other,Exploit/Other,2023
3773,2023-11-10,Poloniex,CeFi,,122981391.0,0.0,0.0,Access Control,Exploit/Access control,2023
3774,2023-11-11,Binance User,Other,,27093953.0,0.0,0.0,Access Control,Exploit/Access control,2023
3775,2023-11-12,Custom Lending Pool,Borrowing and Lending,,366058.0,0.0,0.0,Other,Exploit/Other,2023
3776,2023-11-14,BABYFIDO,Token,,79306.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3777,2023-11-14,Builders NFT,Token,,89296.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
